
#  FSUGarnet                            
#      n(fm-3)          e/V(MeV/fm3)        P(MeV/fm3)            cs2
   0.323362576e+00    0.319227205e+03    0.303967101e+02    0.261104650e+00
   0.325816688e+00    0.321883068e+03    0.310935091e+02    0.263592394e+00
   0.328270800e+00    0.324543690e+03    0.317980828e+02    0.266057347e+00
   0.330724912e+00    0.327210376e+03    0.325108218e+02    0.268451161e+00
   0.333179024e+00    0.329883116e+03    0.332315643e+02    0.270946994e+00
   0.335633136e+00    0.332559763e+03    0.339601806e+02    0.273382116e+00
   0.338087248e+00    0.335242887e+03    0.346966413e+02    0.275623476e+00
   0.340541360e+00    0.337931142e+03    0.354408357e+02    0.278008722e+00
   0.342995472e+00    0.340623997e+03    0.361924587e+02    0.280243661e+00
   0.345449584e+00    0.343322494e+03    0.369519123e+02    0.282613474e+00
   0.347903696e+00    0.346026612e+03    0.377190346e+02    0.284724227e+00
   0.350357808e+00    0.348737034e+03    0.384936787e+02    0.286914792e+00
   0.352811920e+00    0.351452538e+03    0.392758613e+02    0.289162564e+00
   0.355266032e+00    0.354172980e+03    0.400654252e+02    0.291265634e+00
   0.357720144e+00    0.356899537e+03    0.408623723e+02    0.293353169e+00
   0.360174256e+00    0.359630371e+03    0.416664479e+02    0.295495329e+00
   0.362628368e+00    0.362366575e+03    0.424776181e+02    0.297408044e+00
   0.365082480e+00    0.365109751e+03    0.432963043e+02    0.299536961e+00
   0.367536592e+00    0.367857317e+03    0.441220856e+02    0.301457730e+00
   0.369990704e+00    0.370611490e+03    0.449548369e+02    0.303348956e+00
   0.372444816e+00    0.373370676e+03    0.457946431e+02    0.305317088e+00
   0.374898928e+00    0.376135929e+03    0.466414162e+02    0.307157318e+00
   0.377353040e+00    0.378904983e+03    0.474945716e+02    0.309009035e+00
   0.379807152e+00    0.381681318e+03    0.483549909e+02    0.310852032e+00
   0.382261264e+00    0.384462599e+03    0.492221399e+02    0.312657327e+00
   0.384715376e+00    0.387250271e+03    0.500960459e+02    0.314331870e+00
   0.387169488e+00    0.390043542e+03    0.509765144e+02    0.316109876e+00
   0.389623600e+00    0.392841740e+03    0.518635577e+02    0.317872444e+00
   0.392077712e+00    0.395644462e+03    0.527567498e+02    0.319483463e+00
   0.394531824e+00    0.398454179e+03    0.536566895e+02    0.321133247e+00
   0.396985936e+00    0.401269307e+03    0.545630510e+02    0.322753637e+00
   0.399440048e+00    0.404090407e+03    0.554757759e+02    0.324338816e+00
   0.401894160e+00    0.406916576e+03    0.563946795e+02    0.325925154e+00
   0.404348272e+00    0.409748606e+03    0.573199198e+02    0.327475654e+00
   0.406802384e+00    0.412586449e+03    0.582512361e+02    0.328861692e+00
   0.409256496e+00    0.415429624e+03    0.591884273e+02    0.330446912e+00
   0.411710608e+00    0.418277235e+03    0.601316009e+02    0.331922687e+00
